ID,MASS,TYPE,NAME,ENGINE,LAUNCH,LENGTH,ORIGIN,WEIGHT,WARHEAD,DESIGNED,DIAMETER,GUIDANCE,PROPELLANT
192,"15,850 kg (34,940 lb)",MRBM[1],Ghauri (missile),Single tage,"Transporter erector launcher (TEL), Silo",15.90 m (52.2 ft), Pakistan," 750 kg (1,650 lb)"," 750 kg (1,650 lb)",1994–2001,1.35 m (4.4 ft),"Inertial, Terminal, BeiDou","Liquid-propellantFuel:TM-185 20%Gasoline 80%Kerosene[1]Oxidizer:AK-27I 73%HNO3, 27%N2O4[1]"
193,,MRBM/Demo,Ghauri-II,Two-tage,Silo,26 m (85 ft), Pakistan," 1,500 kg (3,300 lb)"," 1,500 kg (3,300 lb)",1993–2003,2.0 m (6.6 ft),"Inertial, Terminal,",Liquid-propellant(Confidential)
194,,IRBM,Ghauri-III,Two-tage,Silo,, Pakistan,,HE,2003–2004,,"Inertial, Terminal,",Liquid-propellant
212,"500 kg (1,100 lb)",BRBM/Rocket artillery,Hatf-I,Single-tage,Transporter erector launcher,6.0 m (19.7 ft), Pakistan," 500 kg (1,100 lb)"," 500 kg (1,100 lb)",1987–89,0.56 m (22 in),Unguided:Hatf-I/IAInertial: Hatf-IB,Solid-propellant
213,"1,100 kg (2,400 lb)",ALCM,Ra'ad,Turbofan,"F-16A/B, Mirage-IIIR",4.85 m (15.9 ft), Pakistan, 450 kg (990 lb), 450 kg (990 lb),1998–2007,0.50 m (20 in),"Inertial, Terminal",
129,"1,500 kg (3,300 lb)[1]",GLCM/SLCM/AshM,Babur (cruise missile),Turbofan,Transporter erector launcherCruise-missile submarine,6.2 m (20 ft), Pakistan," 450 kg (990 lb)–500 kg (1,100 lb)"," 450 kg (990 lb)–500 kg (1,100 lb)",1998–2008 (GLCM)2001–2018 (SLCM),0.52 m (20 in),"INS, TERCOM/DSMAC, GPS, GLONASS, Terminal,",Liquid-propellant (jet engine)Solid-propellant (booster)
418,"9,500 kg (20,900 lb)",SRBM,Shaheen-I,Single-tage,"Transporter erector launcher (TEL), Silo, launch pad",12.0 m (470 in), Pakistan," 700 kg (1,500 lb)(Shaheen-I)1,000 kg (2,200 lb)(Shaheen-IA)"," 700 kg (1,500 lb)(Shaheen-I)1,000 kg (2,200 lb)(Shaheen-IA)",1995–99,1.0 m (39 in),"Inertial, Terminal",Solid-propellant
419,"23,600 kg (52,000 lb)",MRBM,Shaheen-II,Two-tage,"Transporter erector launcher (TEL), Silo, launch pad",17.2 m (680 in), Pakistan," 1,230 kg (2,710 lb)"," 1,230 kg (2,710 lb)",2000–2013,1.4 m (55 in),"Inertial, Terminal",Solid-propellant
420,,MRBM,Shaheen-III,Multi-tage[1],"Transporter erector launcher (TEL), Silo, Launch pad",19.30 m (63.3 ft), Pakistan,,HE/NE,2003–2013,1.40 m (4.6 ft),"Inertial, Terminal,",Solid-fuel
862,"4,650 kg (10,250 lb)",SRBM,Ghaznavi (missile),Single-tage,"Transporter erector launcher (TEL), Silo",8.5 m (330 in), Pakistan," 700 kg (1,500 lb)"," 700 kg (1,500 lb)",1994–98,0.8 m (31 in),"Inertial, Terminal",Solid-propellant
869,"≤1,100 kg (2,400 lb)",ALCM[1][2][3][4],Ra'ad-II,Turbofan,"F-17A/B, Mirage-IIIR, Mirage-VR",4.85 m (15.9 ft), Pakistan, 450 kg (990 lb), 450 kg (990 lb),2007–2019,0.50 m (20 in),"Inertial, Terminal",
917,,Anti-ballistic missileAnti-satellite missile,A-235 anti-ballistic missile system,,Launch market competition,, Russia,,,,,,
101,60 kg ALAS,Long-range multipurpose missile,ALAS (missile),"olid fueled boot phae motor, EdePro TMM-404 ingle-haft turbojet ALAS, rocket engine RALAS",,"2700mm ALAS-A , 1800mm RALAS", Serbia,,,,"175mm x 1,450mm (wingspan) ALAS",optical IR or TV,
336,"87,000 kg (192,000 lb)[1]",Intercontinental ballistic missile,R-26 (missile),,,, Soviet Union,,,1960-1961,,,Liquid fuel
817,,Artillery rocket system,2K6 Luna,,2P16 (PT-76-based),, Soviet Union,,"High explosive, nuclear",,,Ballistic,
265,11.3 kg (25 lb),Anti-tank missile,Mathogo,Two-tage olid fuel rocket,"vehicle, ground",0.998 m (3.27 ft),Argentina,,2.8-kg HEAT warhead,1970s,102 mm (4.0 in),MCLOS with wing-edge spoilers,
191,93.5 kg (206 lb),Anti-tank guided missile,Malkara (missile),olid rocket,Vehicle,1.9 m (6 ft 3 in),"Australia,  United Kingdom",,26 kg (57 lb) HESH,1954,203 mm (8.0 in),wire guided line of sight,
261,"194 lb (88,0 kg)",Short-range air-to-air missile,MAA-1 Piranha,Solid-fuel rocket,Combat aircraft,2.738 metres (107.8 in)[5],Brazil,,,,6 in (152 mm),Infrared homing,Solid fuel
264,586.4 pounds (266.0 kg)[2] or 350 kg (770 lb)[3],Anti-radiation missile (ARM)Air-to-surface missile,MAR-1,Rocket motor,Surface-Launched[5] andAir-Launched:,12.7 feet (3.9 m)[2],Brazil, 90 kilograms (200 lb), 90 kilograms (200 lb),,9.1 inches (23 cm)[2],"Passive radar homing, home-on-jam, 800 MHz to 20 GHz",
262,,MANSUP: short range anti-ship missileMANSUP-ER: extended range anti-ship missile,Mansup,,,4700 mm,BrazilUnited Arab Emirates, 170 kg, 170 kg,2004,330 mm,Active radar homing,
167,"14,700 kilograms (32,400 lb)",MRBM/IRBM,DF-21,Solid fueled,Mobile launcher,10.7 metres (35 ft),China,,"conventional 600kg: 1, or 5-6 (improved variant)[1] nuclear 200-300-500 kt nuclear[2]",,1.4 metres (4.6 ft),Inertial + terminal active radar guidance[5],
170,"~52 / 63.5 tonnes (115,000 / 140,000 lb)",ICBM,DF-41,Three-tage Solid-fuel rocket,"Silo, road-mobile Transporter erector launcher, rail-mobile",~21 metres (69 ft)[1],China,,8 x 250 kt or 10 x 150 kt MIRVs,,~2.25 m (7 ft 5 in)[1],"Inertial, likely with stellar updates  and BeiDou[3]",
215,10.2 kg,MANPADS,HN-5,rocket motor,Air (retired) & surface,1.46 meter,China,,0.5 kg warhead,,72 mm,IR,solid fuel
217,,Long-range surface-to-air missileAnti-satellite weapon Anti-ballistic missile,HQ-9,,HQ-9 ground-launched[6],,China,,,,,Semi-active radar homing[4],
238,"900 kg (2,000 lb)",Surface-to-air missile,HQ-12,Rocket motor,6x6,"5,644 mm (222.2 in)",China,,100 kg (220 lb),,400 mm (16 in),Semi-active radar homing/radio-command guidance,Solid fuel
249,220 kg,air-to-air & surface-to-air missiles,HQ-6,rocket motor,Air & surface,3.69 meter,China,,33 kg warhead,,203 mm,SARH / ARH,solid fuel
138,25 kg," 86
",HJ-8,Solid-fuel rocket,"Tripod, vehicle, aircraft","1,566 mm",China,,HEAT,1970–1984 [2],120 mm,SACLOS wire guidance,
150,,Anti-ship cruise missile,YJ-83,CTJ-2 turbojet,Surface and air launched,6.38 metres (20.9 ft)[1],China,,"190 kg high-explosive fragmentation (YJ-83)165 kg high-explosive, semi-armour piercing (YJ-83K)",,360 millimetres (14 in)[1],Inertial navigation/active radar homing terminal guidance,
162,,IRBM,DF-3A,liquid fueled,,24 m,China,,"Nuclear, possibly 3 × 50–100 kt (0.21–0.42 PJ) warheads or 1 × 700–3,000 kt (2.9–12.6 PJ) warhead[1]",,,Astro-inertial guidance,
423,,Anti-ship cruise missile,Silkworm (missile),,,,China,,,,,,
613,815 kg,Anti-ship missiles,C-801,rocket,"Aerial, naval and land-based",5.81 meter,China,,165 kg,,,Inertial navigation/active radar homing terminal guidance,solid rocket
615,105 kg,anti-ship / air-to-surface missiles,TL-10,rocket motor,Air & surface,2.5 meter,China,,30 kg warhead,,0.18 meter,ARH / ImIR IR / TV,solid fuel
616,≈350 kg,anti-ship / air-to-surface missiles,TL-6,rocket motor,Air & surface,≈3.5 meter,China,,30 kg warhead,,0.28 meter,ARH / ImIR IR / TV,solid fuel
617,≈ 150 kg,anti-ship / anti-tank / air-to-surface missiles,CM-501G,rocket,"Naval, aerial and land based.",,China,,40 kg high explosive,,,"Satellite/INS, IIR, SAL",solid fuel
618,22 kg (49 lb) (carry weight)17 kg (37 lb) (missile)5 kg (11 lb) (IIR/EO targeting sight)[1]," 86
",HJ-12,Solid fuel rocket,DiameterMissile: 13.5 cm (5.3 in)Launch tube: 17 cm (6.7 in),Missile: 0.98 m (3.2 ft)Launch tube: 1.2 m (3.9 ft),China,Mass22 kg (49 lb) (carry )17 kg (37 lb) (missile)5 kg (11 lb) (IIR/EO targeting sight)[1],Tandem shaped charge HEAT,,Missile: 13.5 cm (5.3 in)Launch tube: 17 cm (6.7 in),"Infrared homing, TV imaging",
620,37 kg (82 lb),Anti-tank and air-to-surface missile,HJ-9,Rocket engine,,"1,200 mm (47 in)",China,,"Tandem-charge HEAT warhead, 110–120 cm (3.6–3.9 ft) penetration RHAe",,152 mm (6.0 in),"Laser beam riding, or millimeter wave radar",Solid fuel
624,≈0.6 ton," 65
",CY-1,rocket motor,"Air, surface & submerged",≈1.2 meter,China,,light torpedo,,≈0.4 meter,"inertial in flight, passive / active sonar in water",solid fuel
628,150 kg,air-to-air missile,PL-4 (missile),Solid fuel rocket,aerial,3.2 m[1],China,,High explosive blast-fragmentation 30 kilograms (66 lb),,,Semi-active radar homing (PL-4A)Infrared homing (PL-4B),
631,up to 5 ton,Precision-guided bomb,FT PGB,,aerial platforms,depends on the gravity bomb used,China,,various gravity bombs,,depends on the gravity bomb used,inertial + satellite guidance,
632,up to 0.5 ton,LGB / Precision-guided bomb,LT PGB,N./A.N./A.,aerial platforms,depends on the gravity bomb used,China,,various gravity bombs,,depends on the gravity bomb used,laser guidance,N./A.
636,"~ 1,300 kilograms (2,900 lb)",Surface-to-air missile,HQ-22,Rocket motor,Hanyang 8×8,~ 7 metres (23 ft),China,,~ 180 kilograms (400 lb),,~ 0.7 metres (2 ft 4 in),Semi-active radar homing/radio-command guidance,Solid fuel
639,372 kg[1],Medium range surface-to-air missile,DK-10,rocket motor,Surface,,China,,20 kg HE warhead,,203 / 260 mm[1],SARH / ARH,solid fuel
641,~ 165 kg,Surface-to-air missile,HQ-17,rocket motor,TEL,~ 2.9 m,China,,~ 15 kg HE-FRAG,,~ 0.23 m,Semi-active radar homing,solid fuel
643,20 kg,Surface-to-air missile,HQ-10,rocket motor,,2 m,China,,3 kg HE FRAG,,127 mm,Imaging infrared (IIR),solid fuel
644,20 kg,Air-to-air & surface-to-air missiles,TY-90,Solid-fuel rocket motor,Air & surface,1.95 meter,China,,3 kg warhead,,90 mm,ImIR IR,Solid fuel
645,16 kg,Man-portable surface-to-air missile,FN-6,Single Stage Solid Rocket Motor,,1495mm,China,,,,72mm,Infrared homing,
652,115 kg (254 lb),air-to-air missile and Surface-to-air missile,PL-8 (missile),olid rocket,aerial and ground,2.95 m (9 ft 8 in),China,,11 kg (24 lb) high explosive,,160 mm (6 in),passive infrared homing,solid fuel
654,60–152.3 kg (132–336 lb),air-to-air missile,PL-2,rocket2668dN,aerial,2.15–2.99 m (7 ft 1 in – 9 ft 10 in),China,,11.3 kg (25 lb) high explosive,,127 mm (5 in),Nitrogen cooled passive InPb infrared seeker,solid fuel
655,"148 kg (PL-5B, PL-5C), 83kg (PL-5E)",Short-range air-to-air missile,PL-5,Solid-fuel rocket,"Aircraft, helicopter gunships","3.128 m (PL-5B, PL-5C), 2.893m (PL-5E)",China,,"6kg blast-frag, or expanding rod (RF-fuse)",,0.127m (PL-5E),"Infrared homing, multi-element, dual band detector(PL-5EII)",
657,130-150 t (with DF-41),16x16  superheavy strategic truck/transporter erector launcher,HTF5980,Deutz turbocharged dieel517 hp (386 kW),,~21 metres (69 ft),China,,,,,,
658,35 t (empty),12×12 heavy strategic truck/transporter erector launcher,HTF5680A1,Deutz turbocharged dieel517 hp (386 kW),,17.6m,China,,,,,,
659,14 t (empty),6×6 tactical truck,WS2300,Deutz dieel325 hp (242 kW),,9.5 m,China,,,,,,
660,19 t (empty),8×8 heavy strategic truck/transporter erector launcher,WS2400,Deutz dieel517 hp (386 kW),,11.44 m,China,,,,,,
661,20 t (empty),10×10 heavy strategic truck/transporter erector launcher,WS2500,Deutz dieel517 hp (386 kW),,15.5 m,China,,,,,,
662,22.5 t (empty),10×10 heavy strategic truck/transporter erector launcher,WS2600,Deutz dieel544 hp (406 kW),,16.35 m,China,,,,,,
664,11.5 t (empty),6x6 tractor truck,Hanyang HY4260,Deutz BF12L413F dieel[1]435 hp (324 kW)[1],,7.46m[1],China,,,,,,
665,16 t (empty),8x8 tractor truck,Hanyang HY4330,Deutz BF12L513C dieel[1]540 hp (400 kW)[1],,9.4m[1],China,,,,,,
587,,IRBMASBM,DF-26,Solid-fuel rocket,Mobile launcher,,China,,"1,200–1,800 kg thermonuclear weaponConventional[2]",,,,
588,"~5,000 kilograms (11,000 lb)[1]",MRBM with HGV,DF-17,Two-tage Solid-fuel rocket,Road-mobile Transporter erector launcher,~11 metres (36 ft)[1],China,,Thermonuclear (claimed by the United States) or  Conventional,,,,
589,,Short-range ballistic missile,B-611,Solid fuel rocket motor,,,China,,,,,Inertial and optical guidance systems,Solid fuel
594,,Launchplatform 055 destroyerair platforms,YJ-21,,Type 055 destroyerair platforms,approx. 8.3 metres (27 ft),China,,Conventional,,,,
598,,Hypersonic land-attack cruise missile,CJ-100,,Road-mobile Transporter erector launcherH-6K bomber,,China,,Conventional or nuclear warhead[1],,,,
599,," 055 destroyer
",CJ-10 (missile),,,,China,,"500 kg (1,100 lb),[1] conventional or nuclear[2]",,,,
600,1.6 – 2.5 ton,Land attack cruise missiles,Hongniao,turbofan,"Xian H-6, Xian JH-7, ships, submarines, & ground launchers",,China,,conventional or nuclear warheads,,,TERCOM / Inertial guidance/ TV / Imaging infrared homing,liquid fuel
602,,Anti-ship missileCruise missile,CX-1 Missile Systems,,,,China,,260 kg (570 lb),,,Inertial measurement unit (IMU) and active radar seeker,
604,0.6 ton,Medium-range air-to-surface missile,KD-88,turbojet,JH-7AJ-10CJ-16J-15,4.7 meter,China,,165 kg warhead,,0.3602 meter,CCD/TV-seeker[1] for KD-88 or imaging infrared (IIR)[1] for KD-88A,liquid fuel
605,2440 kg,Anti-ship cruise missile,YJ-6,,,7.63 m,China,,500 kg semi-armor-piercing warhead,,0.76 m,,
606,,Anti-ship / air-to-surface,C-704,Rocket motor (C-704)Turbojet (C-705),Air & surface,,China,,130 kg warhead (C-704)110-130 kg warhead (C-705),,,ARH / ImIR IR / TV,Solid fuel
607,1.85 t (ship launched)[2],"anti-ship, and air to surface cruise missile",C-101,Ramjet[2],"Air, surface",6.5 m (ship launched)[2],China,,300 kg warhead[3],,0.54 m[2],Radar[5],Kerosene[2]
609,,Anti-ship cruise missile,YJ-12,integrated ramjet/booter propulion ytem[3],,,China,,"205–500 kg (452–1,102 lb)[1][2]",,,Terminal guidance,
611,1.77 ton,"anti-ship, and air-to-surface missiles",FL-7,rocket motor,Air & ground,6.59 meter,China,,360 kg warhead,,0.54 meter,ARH,liquid fuel
838,42 t (empty)," 63
",WS51200,Cummin KTTA19-C700 turbocharged dieel engine[1]700 hp (520 kW)[1],,20.11 m[1],China,,,,,,
866,235 kg (518 lb)," 65
",ET52 torpedo,Electric Motor,Aircraft/Surface Ships,2.7 m (8.9 ft),China, 34 kg (75 lb), 34 kg (75 lb),,324 mm (12.8 in),Active/Passive Acoustic Homing,Single Propeller
1014,,,RD-107,,,,"Country of origin Soviet Union, later Russia","Dry RD-107: 1,190 kg (2,620 lb)RD-107A1,190 kg (2,620 lb)",,,,,
379,"25,000 kilograms (55,000 lb)",,SSBS S1,,Launch history,,Country of originFrance,,,,1.50 metres (59 in),,LOX O2 with UDMH
1016,,,RD-0124,,,"1,575 mm (62.0 in)",Country of originRussia,"Dry 572 kg (1,261 lb)",,,"2,400 mm (94 in)",,LOX / RP-1
1017,,,RD-0146,,,3.558 metres (11.67 ft),Country of originRussia,,,,1.95 metres (6 ft 5 in),,LOX / LH2
1020,,,RD-191,,,4 m (160 in),Country of originRussia,"Dry 2,290 kg (5,050 lb)",,,1.45 m (57 in),,LOX / RP-1
1019,"250 kg/s",,RD-180,"",,"3.56 m (140 in)","Country of originRussia","Dry 5,480 kg (12,080 lb)",,,"3.15 m (124 in)",,"LOX / RP-1"
1004,,,RD-8,,,"1,500 mm (59 in)",Country of originSoviet Union,Dry 380 kg (840 lb),,,"4,000 mm (160 in)",,LOX / RG-1
1015,,,RD-0120,,,"4,550 mm (179 in)",Country of originSoviet Union,"Dry 3,450 kg (7,610 lb)",,,"2,420 mm (95 in)",,LOX / LH2
1018,,,RD-170,,,4.0 m (160 in),Country of originSoviet Union/Russian Federation,"Dry 9,750 kg (21,500 lb)",,,3.8 m (150 in),,LOX / RP-1
143,,,Blue Streak (missile),,Launch platform,,Country of originUK,,,,,Guidance system failed,liquid oxygen/kerosene
246,"105,140 kg (231,790 lb)",,HGM-25A Titan I,,Launch sitesCape Canaveral,,Country of originUnited States,,,,3.05 m (10.0 ft),,RP-1/LOX
1013,,Engine,RD-58,,First Launch,,Country of originUSSR,Dry 300 kilograms (660 lb),,,,,
962,,2E1 (2E2),Kasta 2E,,,,Country of origin Russia,,,,,,
944,,Early Warning Ground Control,P-3 radar,,,,Country of origin Soviet Union,,,,,,
945,,Early Warning Ground Control,P-8 radar,,,,Country of origin Soviet Union,,,,,,
946,,Early Warning Ground Control,P-10 radar,,,,Country of origin Soviet Union,,,,,,
947,,Early Warning Ground Control,P-12 radar,,,,Country of origin Soviet Union,,,,,,
948,,Early warning,P-14 radar,,,,Country of origin Soviet Union,,,,33 m (108 ft),,
949,,Surveillance/Target Acquisition,P-15 radar,,,,Country of origin Soviet Union,,,,11 meters,,
950,,Early warning radar,P-18 radar,,,,Country of origin Soviet Union,,,,,,
951,,Surveillance/Target Acquisition,P-19 radar,,,,Country of origin Soviet Union,,,,,,
952,,Early warning ground control.,P-20 radar,,,,Country of origin Soviet Union,,,,,,
953,,Early warningGround control,P-30 radar,,,,Country of origin Soviet Union,,,,,,
954,,Early-warning radar ground control.,P-35 radar,,,,Country of origin Soviet Union,,,,,,
956,,Early Warning/Target Acquisition,P-40 radar,,,,Country of origin Soviet Union,,,,,,
958,,Early Warning,P-70 radar,,,,Country of origin Soviet Union,,,,,,
964,,Fire control & tracking,SNR-75,,,,Country of origin Soviet Union,,,,,,
973,,Twist cassegrainPESA antenna (N001VEP+Pero),Mech radar,,,,Country of origin Soviet Union/ Russia,,,,1.075m,,
971,,,Voronezh radar,,,,Country of originRussia,,,,,,
972,,Over-the-horizon radar,Container radar,,,,Country of originRussia,,,,,,
976,,PESA,Zaslon,,,,Country of originRussia,,,,1.4 meters,,
977,,Slotted Planar/PESA/AESA,Zhuk (radar),,,,Country of originRussia,,,,,,
978,,Slotted Planar array/PESA,Bars radar,,,,Country of originRussia,,,,,,
968,,,Dunay radar,,,,Country of originSoviet Union,,,,,,
966,,,Dnestr radar,,,,"Country of originSoviet Union, Russia",,,,"Each array is 244 metres (801 ft) long, 20 metres (66 ft) high and 12 metres (39 ft) wide[1]",,
967,,,Daryal radar,,,,"Country of originSoviet Union, Russia",,,,Transmitter 30×40 mReceiver 80×80 mseparated by 0.5–1.5 km,,
970,,"Early warning radar, missile defence, space surveillance",Don-2N radar,,,,"Country of originSoviet Union, Russia",,,,18 m (59 ft) [2],,
525,,,GLONASS,,Launch vehicles,,Country/ies of origin Soviet Union(now  Russia),,,,,,
524,,"Military, civilian",Global Positioning System,,Launch period,,Country/ies of originUnited States,,,,GBU-53/B Small  Bomb II,,
266,190 kg (419 lb)[2],Beyond visual range air-to-air missile,Meteor (missile),Throttleable ducted rocket (ramjet),Dassault RafaleEurofighter TyphoonSaab JAS 39 Gripen[6]KAI KF-21 BoramaeLockheed Martin F-35 Lightning II (pending)HAL Tejas Mk2 ( In Future ),3.65 m (12 ft 0 in)[3],Europe (multinational),,High explosive blast-fragmentation,,17.8 cm (7.0 in),"Inertial guidance, mid-course update via datalink, terminal active radar homing",
96,"860 kg (1,900 lb)[2]",Medium-range supersonic stand-off nuclear missile,Air-sol moyenne portée,liquid-fuel ramjet,Dassault RafaleDassault Mirage IV (retired)Dassault Mirage 2000N (retired)Dassault Super Étendard (retired),5.38 m (17.7 ft),France,,"TN 81 nuclear warhead, variable yield 100 to 300 kilotons of TNT (420 to 1,260 TJ)",,380 mm (15 in),,
106,,Anti-runway cruise missile,Apache (missile),Turbojet,"Mirage 2000, Rafale",,France,,10 Kriss anti-runway submunitions (50 kg warhead each),,,GPS-INS,
109,143 kg (315 lb),air-to-surface missile,AS-20,,,260 cm (8 ft 6 in),France, 33 kg (73 lb), 33 kg (73 lb),,25 cm (9.8 in),MCLOS via radio link,
20,340 kg (750 lb),Precision-guided munition,Armement Air-Sol Modulaire,Solid rocket motor,Mirage 2000DRafaleTejas,3.1 m (10 ft 2 in),France,,"250 kg (550 lb) bomb body (Mk82, BLU 111 or CBEMS/BANG)",,,Hybrid inertial/GPS in decametric all-weather versionHybrid inertial/GPS + infrared homing or SALH in metric day/night version,
34,30 kg (66 lb),Warhead 140AC anti-armour,SS.11,,,"1,190 mm (3 ft 11 in)",France, 6.8 kg (15 lb), 6.8 kg (15 lb),1953,165 mm (6.5 in),Manual command to line of sight,
174,12.2 kg,Anti-tank missile,ENTAC,combination olid booter and utainer,individual,820 mm,France,,4 kg Hollow-charge capable of piercing 650 mm of RHA,1950s,152 mm,MCLOS wire,
176,13.0 kg missile and container; firing post 4.5 kg,Anti-tank guided missile,Eryx (missile),,Man-portableVehicle-launched,0.905 m (2.97 ft),France,,"137 mm diameter 3.6 kg tandem HEAT (penetrating 900 mm RHA behind reactive armour,[1] or 2.5 m through concrete)",1985–1992,0.136 m (5.4 in),SACLOS wire,
179,"780 kg (1,720 lb)",Anti-ship missile,Exoce,Solid propellant engineTurbojet (MM40 Block 3 verion),multi-platform:,6 m (19 ft 8 in),France,,165 kg (364 lb),1967,34.8 cm (1 ft 1.7 in),"Inertial guidance, active radar homing, and GPS guidance",
282,112 kg (247 lb)[1],Beyond-visual-range air-to-air missile,MICA (missile),Solid-propellant rocket motor,,3.1 m (10 ft)[1],France,,12 kg (26 lb) warhead[1],,160 mm (6.3 in)[1],,
291,19.7 kg [1],SHORAD,Mistral (missile),"Solid Rocket Motor, 2-tage",,1.86 m,France, 2.95 kg, 2.95 kg,1974,90 mm,Infrared homing,
292,"15 kg (33 lb): round in launch tube  11 kg (24 lb): tripod, firing post and battery",Anti-tank guided missile,Akeron MP,"olid-fuel rocket, two phae thrut (oft launch)",,1.3 m (4.3 ft),France,,Tandem HEAT,From 2010,140 mm (5.5 in),"infrared homing, television guidance[4]",
211,"1,850 kg",Short-range ballistic missile (SRBM),Hadès,Single-tage olid,wheeled platforms composed of a tractor and a trailer with two missiles,7.50 m,France,,Single TN-90 80 kt of TNT nuclear warhead  High explosives conventional warhead,,0.53 m,Inertial guidance system Digital terminal guidance (GPS) DSMAC TV digital scene matching,
254,"20,005 kg (44,103 lb)",SLBM,M1 (missile),"Two-tage olid-fuel rocket440 kN (99,000 lbf)",Redoutable-class SNLEs (SSBNs),10.67 m (35.0 ft),France,,,,1.49 m (4 ft 11 in),Inertial,
258,"20,000 kg (44,000 lb)",SLBM,M20 (missile),,,10.4 m (34 ft 1 in),France,,,,1.5 m (4 ft 11 in),,
272,15 kg,Anti-tank missile,SS.10,olid-fuel rocket,"Individual, Vehicle",0.86 m,France,,5 kg HEAT,1948–1955,0.16 m,wire,
158,80 kg,Surface-to-air missile system,Crotale (missile),Len 3 olid-fuel boot-glide (R.440),"Mobile Launcher, Naval Launch",2.89 m,France, 15kg, 15kg,Late 1960s,15 cm,Automatic command to line of sight[1],
318,"2,423 kg (5,342 lb)",Tactical ballistic missile,Pluton (missile),Single-tage olid,TEL platform on an AMX-30 chassis,7.64 m (25 ft 1 in),France,,- Nuclear 15 kt of TNT  - Nuclear 25 kt of TNT  - Conventional High-Explosive,,0.65 m (2 ft 2 in),Inertial,
380,"31,900 kg (70,300 lb)",MRBM,S2 (missile),"Two-tage Solid-fuel rocket534 kN (120,000 lbf)","Silo, Plateau d'Albion",14.8 m (49 ft),France,,"1 × MR 31 nuclear warhead, 120 kilotonnes",,1.5 m (4 ft 11 in),Inertial,
381,"25,800 kg (56,900 lb)",IRBM,S3 (missile),"Two-tage Solid-fuel rocket534 kN (120,000 lbf)","Silo, Plateau d'Albion",13.8 m (45 ft),France,,"TN 61 warhead, 1.2 megatonnes",,1.5 m (4 ft 11 in),Inertial,"23,000 kg (51,000 lb) solid fuel"
